축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2022 인제에서 꽃길만 걷자,용대관광지 일원,2022-09-30,2022-10-16,가을꽃축제,인제군문화재단,인제군문화재단,,1577-8924,http://www.injeart.or.kr/?p=59,http://www.injeart.or.kr/?p=59,강원도 인제군 북면 십이선녀탕길 16,강원도 인제군 북면 용대리 1795,38.1856059345,128.3061965403,2022-08-17,4330000,강원도 인제군
제27회 화도진축제,동인천역북광장+화도진공원 일원,2016-05-20,2016-05-21,구한말 인천 앞바다 해안 경계를 위해 설치한 화도진을 배경으로한 대표 군영축제,인천광역시 동구청,인천광역시 동구청,,032-770-6922,http://www.icdonggu.go.kr/open_content/culture/event/festival.jsp,화도진공원+수도국산달동네박물관+배다리헌책방거리,인천광역시 동구 참외전로 125 (동인천역 광장),인천광역시 동구 송현동 70-10,37.47664907,126.6324297,2022-08-09,3500000,인천광역시 동구
휴애리 봄 수국축제,휴애리자연생활공원,2022-03-25,2022-05-31,정성스럽게 키운 다양한 수국을 온실. 수국정원. 등 공원 곳곳에서 감상할 수 있어 제주도민과 상춘객에게 인기가 좋은 제주 대표 봄 축제,휴애리자연생활공원,휴애리자연생활공원,,064-732-2114,http://hueree.com,,제주특별자치도 서귀포시 남원읍 신례동로 256,,,,2022-06-13,6500000,제주특별자치도
마노르블랑 수국축제,마노르블랑카페,2022-04-18,2022-08-31,수국축제의 향연. 전세계 30여종 7천여본 수국들을 만나다,마노르블랑,마노르블랑,,064-794-0999,https://manorblanc.modoo.at/,,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,,,2022-06-13,6500000,제주특별자치도
2022 제주 요가 페스티벌,제주시민복지타운 야외잔디광장,2022-06-11,2022-06-11,2022년 8월 유엔 세계요가의 날을 기념하여 전쟁으로 고통받고 있는 우크라이나를 돕기 위한 요그프로젝트를 평화의 섬 제주에서 개최합니다.,제주시 요가회,제주시 요가회,,,,,제주특별자치도 제주시 연삼로 286,,,,2022-06-13,6500000,제주특별자치도
돗자리 야외 영화제,광주 동구 화산로 318-26 용산체육공원,2019-06-01,2019-06-01,야외영화 상영,광주 동구,광주 동구청,,062-608-2413,https://www.donggu.kr/menu.es?mid=a90405000000,,광주광역시 동구 서남로 1(서석동),광주광역시 동구 서석동 31,35.1461417,126.9230932,2022-01-01,6290000,광주광역시
광주 프린지 페스티벌,광주 동구 계림동 730 푸른길공원(지역이동하여 개최),2021-07-03,2021-10-02,거리예술축제,광주문화재단,광주강역시,,062-670-9647,http://fringefestival.kr/default/index.php,http://fringefestival.kr/default/index.php,광주광역시 남구 천변좌로 338번길 7,광주광역시 남구 구동 12,35.14790588,126.9078967,2022-01-01,6290000,광주광역시
온라인 어린이 가족문화축제 How fun 7,온라인,2021-08-04,2021-08-08,온라인 어린이 가족문화 축제,국립아시아문화전당,아시아문화원,,1899-5566,https://www.acc.go.kr/child/onlineHowFun7.do?PID=050401,https://www.acc.go.kr/child/onlineHowFun7.do?PID=050401,광주광역시 동구 문화전당로 38,광주광역시 동구 광산동 13,35.14691559,126.9199945,2022-01-01,6290000,광주광역시
2021  ACC  뮤직페스티벌,광주광역시 동구 국립아시아문화전당 어린이극장 어린이문화원,2021-08-20,2021-08-22,뮤직페스티벌,국립아시아문화전당,국립아시아문화전당,,062-601-4621,https://www.acc.go.kr/info/board/board.do?PID=0401&boardID=NOTICE&category=1&action=Read&idx=1500,https://www.acc.go.kr/info/board/board.do?PID=0401&boardID=NOTICE&category=1&action=Read&idx=1500,광주광역시 동구 문화전당로 38,광주광역시 동구 광산동 13,35.14691559,126.9199945,2022-01-01,6290000,광주광역시
함양연암문화화제,안의면 오리숲일원,2022-08-27,2022-08-28,학술대회+연암역사 퀴즈대회+연암 부임행차+연암제례+축하공연+군민노래자랑,함양연암문화제위원회,경상남도 함양군,,055-960-4510,,,,경상남도 함양군 안의면 금천리 241,35.63129664,127.812171,2022-08-09,5460000,경상남도 함양군
남한산성문화제,남한산성도립공원 일원,2022-09-23,2022-09-25,남한산성 활용 미디어 아트 등,경기도 광주시 관광과,경기도 광주시 관광과,,,,,경기도 광주시 남한산성면 남한산성로780번길 105,,,,2022-08-17,5540000,경기도 광주시
광주왕실도자기축제,곤지암도자공원 일원,2022-08-26,2022-08-28,광주왕실도자기,경기도 광주시 관광과,경기도 광주시 관광과,,,,,경기도 광주시 곤지암읍 경충대로 727,,,,2022-08-17,5540000,경기도 광주시
여주도자기축제,여주 프리미엄아울렛 EAST광장 일원,2022-04-08,2022-04-17,여주 도자기 전시+판매+공연,여주세종문화재단,경기도 여주시청,,031-881-9693,https://www.yjcf.or.kr,신륵사+명성황후생가+영릉+황학산수목원,경기도 여주시 명품로 360,경기도 여주시 상거동 460,,,2022-08-17,5700000,경기도 여주시
여주오곡나루축제,여주 신륵사관광지 일원,2022-10-21,2022-10-23,여주 농특산물 판매+홍보+공연,여주세종문화재단,경기도 여주시청,,031-881-9692,https://www.yjcf.or.kr,신륵사+명성황후생가+영릉+황학산수목원,경기도 여주시 신륵사길 7,경기도 여주시 천송동 303-3,,,2022-08-17,5700000,경기도 여주시
와룡문화제,경상남도 사천시청 노을광장 일원,2019-04-26,2019-04-28,현종 일대기존+역사야외극+사주천년의 등(燈)전시+왕 드론 라이트쇼+사천 로드 퍼레이드+문화퍼레이드+고려촌 저잣거리+배방사ㆍ고자봉 문화순례투어,(재)사천문화재단,경상남도 사천시청,농협 사천시지부+한국남동발전+한국항공우주산업주식회사+BAT 코리아+한전ICPS주식회사+design made,055-835-6492,www.sccf.or.kr,주민복지박람회+구암제,경상남도 사천시 용현면 시청로 77,경상남도 사천시 용현면 덕곡리 501,35.00361954,128.0642075,2022-08-02,5340000,경상남도 사천시
현인가요제,송도해수욕장,2022-08-05,2022-08-07,개막행사+현인가요제 전야제+현인가요제 본선,(사)한국연예예술인협회,(사)한국연예예술인협회,부산광역시+부산광역시 서구,02-2655-3157,http://culture.bsseogu.go.kr,송도해수욕장+부산공동어시장+송도구름산책로+송도해상케이블카+용궁구름다리+암남공원,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,2022-08-10,3260000,부산광역시 서구
합천기록문화축제,대장경테마파크,2022-10-28,2022-11-13,기록문화와 화려한 공연등이 준비된 축제,경상남도 합천군청,경상남도 합천군청,,055-930-4697,https://www.hc.go.kr/06573/08250.web,,경상남도 합천군 가야면 가야산로 1160,경상남도 합천군 가야면 야천리 943,35.76749785,128.1365362,2022-08-10,5480000,경상남도 합천군
제28회 화도진축제,동인천역북광장+화도진공원 일원,2017-05-19,2017-05-20,구한말 인천 앞바다 해안 경계를 위해 설치한 화도진을 배경으로한 대표 군영축제,인천광역시 동구청,인천광역시 동구청,,032-770-6922,http://www.icdonggu.go.kr/open_content/culture/event/festival.jsp,화도진공원+수도국산달동네박물관+배다리헌책방거리,인천광역시 동구 참외전로 125 (동인천역 광장),인천광역시 동구 송현동 70-10,37.47664907,126.6324297,2022-08-09,3500000,인천광역시 동구
부산불꽃축제,광안리해변,2022-11-05,2022-11-05,"해외초청 불꽃쇼, 첨단멀티 불꽃쇼",(사)부산문화관광축제조직위원회,부산광역시,"BNK, 고려제강",051-888-5222,http://www.bfo.or.kr/main/index.asp,광안대교,부산광역시 수영구 광안해변로 219,부산광역시 수영구 광안동 192-16,35.15377357,129.1185161,2022-08-11,6260000,부산광역시
신포크리스마스트리 축제,신포문화의거리 일원,2021-11-28,2022-01-31,대형트리 경관조명 및 콘서트,인천광역시 중구,인천광역시 중구,,032-760-6443,https://www.icjg.go.kr/index,,인천광역시 중구 신포로35,인천광역시 중구 관동3가 1-5,,,2022-09-13,3490000,인천광역시 중구
어린이 축제,한중문화관+영종역사관,2022-04-30,2022-05-01,공연+전시+전통놀이 등,(재)인천중구문화재단,(재)인천중구문화재단,,032-777-9113,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로 238,인천광역시 중구 항동1가 1-2,,,2022-09-13,3490000,인천광역시 중구
자유공원 축제,자유공원+한중문화관,2022-05-14,2022-06-12,서예대전 전시 등,(재)인천중구문화재단,(재)인천중구문화재단,,032-777-9113,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로232번길46,인천광역시 중구 송학동1가 11-1,,,2022-09-13,3490000,인천광역시 중구
2020 부평풍물대축제,신트리공원 등,2020-10-16,2020-10-18,다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,문화체육관광부+인천광역시,032-509-7516,https://portal.icbp.go.kr/bpf/,홈페이지 참조,인천광역시 부평구 신트리로 21,인천광역시 부평구 부평동 880,37.506554,126.7236393,2022-08-27,3540000,인천광역시 부평구
2021 부평풍물대축제,부평아트센터,2021-10-15,2021-10-17,전통+창작+가족 공연+개막 및 폐막 공연+작품전시 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,인천광역시+인천광역시의회+부평구의회,032-509-7516,https://portal.icbp.go.kr/bpf/,홈페이지 참조,인천광역시 부평구 아트센터로 166,인천광역시 부평구 십정동 186-22,37.4822383,126.7049334,2022-08-27,3540000,인천광역시 부평구
2022 부평풍물대축제,부평대로+부평아트센터 등,2022-09-30,2022-10-02,전통+창작 연희공연+퍼레이드+개막 및 폐막 공연+체험행사 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,인천광역시+인천광역시의회+부평구의회+인천광역시교육청,032-509-7516,https://portal.icbp.go.kr/bpf/,홈페이지 참조,인천광역시 부평구 부평대로 168,인천광역시 부평구 부평동 879,37.5070683146,126.7218562648,2022-08-27,3540000,인천광역시 부평구
울산아시아퍼시픽뮤직미팅(울산에이팜),울산문화예술회관,2022-09-02,2022-09-04,오직 음악을 위한 국제 뮤직 네트워크,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-259-7935,http://www.apamm.org/,,울산광역시 남구 번영로 200 (달동) 울산문화예술회관,울산광역시 남구 달동 413-13,35.54289686,129.327092,2022-09-02,6310000,울산광역시
태화강공연축제 나드리,태화강국가정원 일원,2022-10-08,2022-10-12,아름다운 정원과 함께 만나는 풍성하고 수준 높은 예술공연 축제,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-259-7933,,,울산광역시 중구 태화강국가정원길 154 (태화동),울산광역시 중구 태화동 667,35.548823,129.291263,2022-09-02,6310000,울산광역시
울산옹기축제,온라인 축제,2022-09-30,2022-10-03,"국내 유일의 옹기특화 축제, 온라인비대면축제",울산광역시 울주군청 관광과,울산광역시 울주군청 관광과,,052-204-0355,https://www.onggi.or.kr/,,울산광역시 울주군 온양읍 외고산2길 2-13,울산광역시 울주군 온양읍 고산리 512-4,35.43299143,129.2784466,2022-09-02,6310000,울산광역시
울주세계산악영화제,영남알프스 복합웰컴센터 일원,2022-04-01,2022-04-10,"봄의 영화제, 늘 푸른산에서 펼쳐집니다",울산광역시 울주군청 문화체육과,울산광역시 울주군청 문화체육과,,052-248-6450,https://www.umff.kr/,,울산광역시 울주군 상북면 알프스온천5길 103-8,울산광역시 울주군 상북면 등억알프스리 517,35.55645417,129.0679842,2022-09-02,6310000,울산광역시
간절곶 해맞이 축제,울주군 서생면 간절곶 공원 일원,2021-12-31,2022-01-01,간절곶은 새해 한반도 육지부에서 해가 가장 먼저 뜨는 곳으로 매년 축제 때 마다 전국에서 관광객들이 방문한다.,울산광역시 울주군청 문화체육과,울산광역시 울주군청 문화체육과,,052-204-0315,,,울산광역시 울주군 서생면 간절곶1길 39-2,,35.3589245,129.3602963,2022-09-02,6310000,울산광역시
제18회 구리 코스모스 축제,구리한강 시민공원,2018-10-05,2018-10-07,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제19회 구리 유채꽃 축제,구리한강 시민공원 및 시가지 일원,2019-05-10,2019-05-12,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제19회 구리 코스모스 축제,구리한강 시민공원 및 시가지 일원,2019-09-27,2019-09-29,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
2022 대전 서구힐링 아트페스티벌,보라매공원(서구청앞) 일원,2022-10-14,2022-10-16,아트마켓 등 6개분야 100여개 프로그램,"서구축제추진위원회, 대전광역시서구문화원, 한국예총대전광역시연합회",대전광역시 서구,미정,042-288-2742,http://www.seogu.go.kr/sorg/content.do?mnucd=SGMENU0500242,,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산동 1544,36.35505601,127.3833576,2022-07-01,3660000,대전광역시 서구
2022 보은대추축제,온라인축제,2022-10-14,2022-10-31,대추 및 농특산물 전시판매+랜선 콘서트+유튜브 홈쇼핑,충청북도 보은군,보은군 축제추진위원회,,043-540-3393,http://www.boeunjujube.com/,,,충청북도 보은군 보은읍 이평리 45,36.48970363,127.7297482,2022-06-24,4420000,충청북도 보은군
2022 보은대추축제,현장축제,2022-10-14,2022-10-23,대추 및 농특산물 전시판매+랜선 콘서트+유튜브 홈쇼핑,충청북도 보은군,보은군 축제추진위원회,,043-540-3393,http://www.boeunjujube.com/,,,충청북도 보은군 보은읍 이평리 45,36.48970363,127.7297482,2022-06-24,4420000,충청북도 보은군
지리산 바래봉 눈꽃축제,지리산허브밸리 일원,2022-01-22,2022-01-23,"눈꽃 겨울 캠핑체험, 농특산품 홍보 등",운봉애향회,운봉읍,전라북도 남원시청+운봉읍 이장단 · 사회봉사단체,063-620-3818,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 운봉읍 바래봉길 214,전라북도 남원시 운봉읍 용산리 446-3,35.43509151,127.5486169,2022-06-15,4700000,전라북도 남원시
지리산 뱀사골 고로쇠 약수제,남원시 산내면 부운리 반선주차장,2022-02-14,2022-03-31,"고로쇠 홍보 및 판매, 기념식 등",산내발전협의회,산내면,전라북도 남원시청+지리산뱀사골고로쇠영농조합법인,063-620-4705,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 산내면 지리산로 842-8,전라북도 남원시 산내면 부운리 216-10,35.3769935,127.581604,2022-06-15,4700000,전라북도 남원시
제92회 춘향제,광한루원+요천로 일원,2022-05-04,2022-05-08,"춘향제향, 춘향선발대회, 춘향국악대전, 관광지 홍보 및 다양한 공연 등",춘향제전위원회,전라북도 남원시청,전라북도 남원시청+전라북도 문화체육관광부+한국문화예술위원회,063-620-5785,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 요천로 1447,전라북도 남원시 천거동 78,35.40413057,127.380504,2022-06-15,4700000,전라북도 남원시
지리산 바래봉 철쭉제,지리산허브밸리 일원,2022-04-28,2022-05-22,"산신제, 바래봉 철쭉 및 지역 농특산품 홍보 등",운봉애향회,운봉읍,전라북도 남원시청+운봉읍 사회(봉사)단체,063-620-3818,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 운봉읍 바래봉길 214,전라북도 남원시 운봉읍 용산리 446-3,35.43509151,127.5486169,2022-06-15,4700000,전라북도 남원시
봉화산 철쭉제,남원시 아영면 봉화산 일원,2022-04-23,2022-04-23,봉화산 철쭉 테마공연 등,흥부골아영발전협의회,아영면,전라북도 남원시청+아영면 사회단체+재경아영향우회,063-620-4084,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 아영면 성리 산56-6,전라북도 남원시 아영면 성리 산56-6,35.52409108,127.576659,2022-06-15,4700000,전라북도 남원시
흥부제,사랑의 광장 일원+아영면 성리 흥부묘+인월면,2022-10-07,2022-10-09,"흥부마을터울림, 다양한 공연 및 홍보 등",흥부제전위원회,전라북도 남원시청,국립민속국악원,063-620-5772,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 양림길 12,전라북도 남원시 어현동 37-19,35.40248095,127.3861268,2022-06-15,4700000,전라북도 남원시
지리산 뱀사골 단풍제,산내면 부운리 지리산국립공원,2022-10-22,2022-10-22,"개막식, 천년송소원빌기, 뱀사골와운단풍길트레킹, 각종 체험 및 농특산품 판매장 운영 등",산내면발전협의회,산내면,전라북도 남원시청,063-620-4705,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 산내면 와운길 10,전라북도 남원시 산내면 부운리 252,35.37179767,127.5791353,2022-06-15,4700000,전라북도 남원시
한여름밤의 남원 막걸리 축제,사랑의광장,2022-09-02,2022-09-04,"막걸리 퍼포먼스, 막걸리 안주 시식, 대중공연 등",전라북도 남원시청,전라북도 남원시청,전라북도 남원시청,063-620-6170,http://www.namwon.go.kr/tour/index.do,,전라북도 남원시 양림길 12,전라북도 남원시 어현동 37-11,35.40248095,127.3861268,2022-06-15,4700000,전라북도 남원시
제1회 상록수문화제,상록수공원 및 샘골로 일대,2013-08-31,2013-08-31,기념음악회+ 체험박람회+ 작품발표회+ 사생대회 등,안산시,안산시,국가보훈처,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2022-06-15,3930000,경기도 안산시
제2회 상록수문화제,상록수공원 및 샘골로 일대,2014-09-27,2014-09-27,기념음악회+ 체험박람회+ 작품발표회+ 사생대회 등,안산시,안산시,경기도+ 국가보훈처,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2022-06-15,3930000,경기도 안산시
안산시도서관책문화축제,안산 호수공원 중앙광장,2014-10-14,2014-10-14,도서관홍보+ 체험+ 북콘서트+ 전시 등,안산중앙도서관,안산중앙도서관,,031-481-3862,http://lib.iansan.net,,경기도 안산시 상록구 해안로 561(사동),경기도 안산시 상록구 사동 1509,37.298403,126.819135,2022-06-15,3930000,경기도 안산시
안산국제거리극축제,안산시 문화광장,2015-05-01,2015-05-03,순수예술축제,안산시,안산문화재단,안산시,031-481-4030,https://www.ansanart.com/index.do,대부도,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2022-06-15,3930000,경기도 안산시
제8회 세계인의 날 기념행사,외국인주민센터 야외광장,2015-05-17,2015-05-17,기념식+ 문화 및 각종 부대행사,안산시,안산시,중부일보,031-481-3298,,원곡동 다문화거리,경기도 안산시 단원구 부부로 43,경기도 안산시 단원구 원곡동 991-1,37.332436,126.790343,2022-06-15,3930000,경기도 안산시
안산M밸리록페스티벌,대부도바다향기테마파크,2015-07-24,2015-07-26,록페스티벌,CJ E&M,CJ E&M,안산시,1566-2226,https://www.thefestival.co.kr/info/festival/5532/,대부도유리섬+ 종이미술관+ 대부해솔길+ 탄도항,경기도 안산시 단원구 대부황금로 1490(대부북동),경기도 안산시 단원구 대부북동 1841-27,37.287067,126.575056,2022-06-15,3930000,경기도 안산시
여르미오페스티벌,안산시 문화광장,2015-08-08,2015-08-08,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,대부도,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2022-06-15,3930000,경기도 안산시
영종크리스마스트리 축제,별빛광장 일원,2021-11-27,2022-01-31,대형트리 경관조명 및 콘서트,인천광역시 중구,인천광역시 중구,,032-760-6443,https://www.icjg.go.kr/index,,,인천광역시 중구 중산동 1884-5,,,2022-09-13,3490000,인천광역시 중구
영월동강뗏목축제,동강둔치 일원,2022-07-28,2022-07-30,전통뗏목시연+맨손송어잡기+래프팅,영월문화재단,강원도 영월군,강원랜드,033-375-6353,http://www.ywcf.com/,삼굿시연+뗏목+동강둔치+래프팅+카누+물놀이,,강원도 영월군 영월읍 하송리 61-11,37.1796854699,128.4698462628,2022-06-15,4270000,강원도 영월군
김삿갓문화제,김삿갓유적지 일원,2022-09-23,2022-09-25,조선시대영월과거대전+백일장+김삿갓해학의길걷기,영월문화재단,강원도 영월군,강원도+강원랜드,033-375-6353,http://www.ywcf.com/,김삿갓문학관+MTB라이딩+김삿갓계곡+전국휘호대회,강원도 영월군 김삿갓면 김삿갓로 216-22,강원도 영월군 김삿갓면 와석리 913,37.07949201,128.6017366,2022-06-15,4270000,강원도 영월군
이천도자기축제,이천시 신둔면 예스파크,2022-09-02,2022-10-03,도자기전시+체험,이천문화재단+이천시도자기축제추진위원회,경기도 이천시,경기도,031-636-2200,http://www.ceramic.or.kr,예스파크(이천도자예술마을) +사기막골도예촌+월전미술관+이천세라피아+이천시립박물관+미란다호텔스파+테르메덴,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,2022-06-20,4070000,경기도 이천시
설봉산별빛축제,설봉공원야외대공연장,2022-07-09,2022-08-06,대중예술공연(총5회공연),(사)이천예총,경기도 이천시,경기도 이천시,031-634-7300,http://www.2000art.or.kr,설봉공원(1회 개막공연~4회공연)+장호원 복숭아축제장(5회 폐막공연),경기도 이천시 경충대로2697번길 304,경기도 이천시 관고동 393-1,37.27792699,127.425921,2022-06-20,4070000,경기도 이천시
체험문화축제,예스파크,2022-10-15,2022-10-16,음식만들기+공예체험+스포츠 놀이체험,(사)이천농촌나드리,경기도 이천시,경기도 이천시,031-636-2723,http://www.2000green.com,예스파크+이천농촌나드리,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,2022-06-20,4070000,경기도 이천시
진도문화예술제,향토문화회관 및 철마공원 일원,2022-10-01,2022-10-31,남도민요전국경창대회+전국고수대회+강강술래경연대회 등,(사)한국예총진도지부,전라남도 진도군,,061-540-3072,https://www.jindo.go.kr/tour/tour/info/festival.cs?act=view&infoId=99&searchCondition=&searchKeyword=&pageIndex=1,,전라남도 진도군 진도읍 진도대로 7197,전라남도 진도군 진도읍 동외리 1189,34.47975717,126.2685772,2022-06-15,5000000,전라남도 진도군
명량대첩축제,녹진관광지 일원,2022-09-23,2022-09-25,해전재현+출정식+만가행진+부대행사 등,(재)명량대첩기념사업회,전남남도+전라남도 진도군+전라남도 해남군,문화체육관광부+한국관광공사+대한민국해군,1588-9601,http://www.mldc.kr/web/,,전라남도 진도군 군내면 진도대로 8439-19,전라남도 진도군 군내면 녹진리 산5-10,34.57125609,126.2996968,2022-06-15,5000000,전라남도 진도군
모란축제추진위원회,모란오거리쉼터,2019-10-01,2019-10-31,지역상인들과 시민화합의장 마련,경기도 성남시 수정구 성남동,성남동 상가번영회,,,,,경기도 성남시 중원구 제일로 35번길 51,경기도 성남시 중원구 성남동 3439,37.4320045,127.1315674,2022-07-01,3780000,경기도 성남시
은행골한마음잔치,은행2동 초등학교,2019-05-01,2019-05-31,은행2동 350년 된 은행나무 보호수 행목제 시작으로 부대행사,경기도 성남시 수정구 은행2동,은행골 한마음잔치 추진위원회,,,,,경기도 성남시 중원구 순환로 447번길 11,경기도 성남시 중원구 은행동 652,37.46100227,127.1709005,2022-07-01,3780000,경기도 성남시
중원한마당축제,종합운동장보조구장(미정),2019-09-01,2019-09-30,"중원구민 한마당 음악축제, 주민자치센터 작품 발표",경기도 성남시 중원구청 가정복지과,중원한마당축제추진위원회,,,,,경기도 성남시 중원구 광명로 377,경기도 성남시 중원구 금광동 2685,37.44885031,127.167697,2022-07-01,3780000,경기도 성남시
분당구민 한마음 축제,중앙공원 야외공연장,2019-09-28,2019-09-28,"행복한 분당, 화합하고 하나되는 어울림 마당 조성",경기도 성남시 분당구청 가정복지과,분당구민한마음축제추진위원회,,,,,경기도 성남시 분당구 성남대로 550,경기도 성남시 분당구 수내동 65,37.38030721,127.1211791,2022-07-01,3780000,경기도 성남시
청계산철쭉축제,옛골입구,2019-04-27,2019-04-27,청계산 철쭉제 개화시기 축제알림,경기도 성님시 수정구 고등동,청계산 철쭉축제추진위원회,,,,,경기도 성남시 수정구 상적동 216-2,경기도 성남시 수정구 상적동 216-2,37.42989648,127.0716316,2022-07-01,3780000,경기도 성남시
수정숯골축제,성남초교(미정),2019-10-01,2019-10-31,수정구지역이 조선시대 숯을 구어 장에 팔았던 숯골을 축제 유래로 수정구민 화합축제,경기도 성남시 수정구청 가정복지과,수정숯골축제 추진위원회,,,,,경기도 성남시 수정구 수정로 233,경기도 성남시 수정구 태평동 7236,37.44608464,127.1441445,2022-07-01,3780000,경기도 성남시
벌터산 축제,벌터산공원,2019-04-01,2019-04-30,지역주민 화합,경기도 성남시 수진2동,벌터산 축제 추진위원회,,,,,경기도 성남시 수정구 수진동 산41-3,경기도 성남시 수정구 수진동 산41-3,37.43593869,127.1256242,2022-07-01,3780000,경기도 성남시
제15회 구리한강 유채꽃 축제,구리한강 시민공원,2015-05-08,2015-05-10,유채꽃 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사+경기문화재단,031-550-2065,http://www.guri.go.kr,고구려대장간마을,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제15회 구리 코스모스 축제,구리한강 시민공원,2015-10-09,2015-10-11,코스모스 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사+경기문화재단,031-550-2065,http://www.guri.go.kr,고구려대장간마을,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제16회 구리한강 유채꽃 축제,구리한강 시민공원,2016-05-13,2016-05-15,유채꽃 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제16회 구리 코스모스 축제,구리한강 시민공원,2016-09-23,2016-09-25,코스모스 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제17회 구리 유채꽃 축제,구리한강 시민공원,2017-05-12,2017-05-14,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
제17회 구리 코스모스 축제,구리한강 시민공원,2017-09-22,2017-09-24,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2022-06-30,3980000,경기도 구리시
